id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
510,Capitol Hill,9/27/2016,F,,1,Entire home/apt,4,1 bath,2,2,108,31
516,Union Station,9/2/2013,F,1,14,Entire home/apt,4,1 bath,1,2,120,2
517,Dupont Circle,10/20/2015,T,1,1,Entire home/apt,2,1 bath,,1,114,2
521,Shaw,10/15/2015,T,0.98,284,Entire home/apt,6,2 baths,2,3,331,31
522,Union Station,10/10/2015,F,,1,Entire home/apt,4,1.5 baths,3,3,325,31
523,Dupont Circle,3/25/2016,F,,1,Entire home/apt,4,2 baths,1,2,130,2
524,Union Station,7/6/2016,F,,1,Entire home/apt,8,2 baths,4,3,225,31
525,Capitol Hill,8/6/2015,T,1,1,Entire home/apt,3,1 bath,1,1,127,1
528,Shaw,10/17/2016,T,0.9,2,Entire home/apt,3,1 bath,1,1,246,2
529,Capitol Hill,1/13/2016,T,0.99,1,Entire home/apt,4,1 bath,1,1,80,2
531,Union Station,10/22/2015,F,1,1,Entire home/apt,1,1 bath,1,1,80,60
532,Dupont Circle,5/23/2016,F,0.88,1,Entire home/apt,4,2.5 baths,2,4,795,2
534,Capitol Hill,10/24/2016,T,0.93,1,Entire home/apt,4,1 bath,1,1,159,2
535,Union Station,4/11/2014,T,0.96,1,Entire home/apt,3,1 bath,1,2,146,2
536,Capitol Hill,8/13/2013,F,,1,Entire home/apt,2,1 bath,1,1,110,31
538,Capitol Hill,11/2/2016,F,,3,Entire home/apt,8,2 baths,3,3,199,31
539,Capitol Hill,11/2/2016,F,,3,Entire home/apt,6,1 bath,2,2,162,31
542,Capitol Hill,8/18/2015,T,0.95,1,Entire home/apt,4,1 bath,1,1,111,1
543,Union Station,5/31/2014,F,1,2,Entire home/apt,3,1 bath,1,2,118,2
545,Union Station,1/7/2015,T,1,1,Entire home/apt,2,1 bath,1,1,74,1
546,Capitol Hill,1/11/2014,T,0.99,4,Entire home/apt,4,1 bath,1,2,147,2
